A1BG	0.99840940061711
A1CF	1
A2BP1	1
A2M	1
A2ML1	1
A4GALT	1
A4GNT	1
AAAS	1
AACS	1
AADAC	0.98586124103835
AADACL2	1
AADACL3	1
AADACL4	1
AADAT	1
AAGAB	1
AAK1	0.98586124103835
AAMP	1
AANAT	1
AARS	0.734565422822853
AARS2	0.734565422822853
AARSD1	1
AASDH	0.950902615126671
AASDHPPT	0.99840940061711
AASS	1
AATF	0.612902418908571
AATK	0.98586124103835
ABAT	0.977338142985458
ABCA1	0.977338142985458
ABCA10	1
ABCA11P	0.98586124103835
ABCA12	1
ABCA13	1
ABCA17P	1
ABCA2	1
ABCA3	1
ABCA4	1
ABCA5	0.99840940061711
ABCA6	1
ABCA7	1
ABCA8	0.98586124103835
ABCA9	1
ABCB1	1
ABCB10	1
ABCB11	1
ABCB4	1
ABCB5	1
ABCB6	0.977338142985458
ABCB7	0.977338142985458
ABCB8	0.99840940061711
ABCB9	0.98586124103835
ABCC1	0.98586124103835
ABCC10	0.612902418908571
ABCC11	0.99840940061711
ABCC12	1
ABCC2	1
ABCC3	1
ABCC4	0.977338142985458
ABCC5	0.950902615126671
ABCC6	0.99840940061711
ABCC8	1
ABCC9	1
ABCD1	0.977338142985458
ABCD2	1
ABCD3	0.98586124103835
ABCD4	1
ABCE1	0.734565422822853
ABCF1	0.612902418908571
ABCF2	0.99840940061711
ABCF3	0.501886605198143
ABCG1	1
ABCG2	0.98586124103835
ABCG4	1
ABCG5	1
ABCG8	1
ABHD1	1
ABHD10	0.99840940061711
ABHD11	1
ABHD12	0.98586124103835
ABHD12B	1
ABHD13	0.854368216388063
ABHD14A	0.977338142985458
ABHD14B	0.977338142985458
ABHD15	0.854368216388063
ABHD2	1
ABHD3	1
ABHD4	0.734565422822853
ABHD5	0.99840940061711
ABHD6	1
ABHD8	1
ABI1	0.977338142985458
ABI2	0.98586124103835
ABI3	1
ABI3BP	1
ABL1	0.977338142985458
ABL2	0.98586124103835
ABLIM1	0.977338142985458
ABLIM2	0.977338142985458
ABLIM3	1
ABO	1
ABP1	1
ABR	0.977338142985458
ABRA	1
ABT1	0.734565422822853
ABTB1	0.98586124103835
ABTB2	0.854368216388063
ACAA1	0.854368216388063
ACAA2	1
ACACA	0.950902615126671
ACACB	1
ACAD10	0.734565422822853
ACAD11	0.98586124103835
ACAD8	1
ACAD9	0.977338142985458
ACADL	1
ACADM	0.99840940061711
ACADS	1
ACADSB	0.98586124103835
ACADVL	1
ACAN	1
ACAP1	1
ACAP2	0.98586124103835
ACAP3	1
ACAT1	0.99840940061711
ACAT2	1
ACBD3	0.977338142985458
ACBD4	1
ACBD5	0.99840940061711
